product,title,rev_date,post_date,pdf_url
Publication 5582,Exempt Organizations Technical Guide TG 60 Taxes on Excess Business Holdings IRC 4943,Aug 2024,08/07/2024,https://www.irs.gov/pub/irs-pdf/p5582.pdf
Publication 5583,Exempt Organizations Technical Guide TG 64 Application of Taxes on Denial of Exemption to Certain Foreign Organizations - IRC Section 4948,Apr 2024,04/10/2024,https://www.irs.gov/pub/irs-pdf/p5583.pdf
Publication 5584,Exempt Organizations Technical Guide TG 61 Excise Taxes on Investments which Jeopardize Charitable Purposes IRC 4944,Aug 2024,08/07/2024,https://www.irs.gov/pub/irs-pdf/p5584.pdf
Publication 5585,Child-Related 2021 Tax Credits,Dec 2021,03/21/2022,https://www.irs.gov/pub/irs-pdf/p5585.pdf
Publication 5586,Base Erosion and Anti-Abuse Tax (BEAT),Nov 2021,11/29/2021,https://www.irs.gov/pub/irs-pdf/p5586.pdf
Publication 5588,Exempt Organizations Technical Guide TG 45 Suspension of Tax-Exempt Status of Terrorist Organizations under IRC 501(p),Feb 2024,02/21/2024,https://www.irs.gov/pub/irs-pdf/p5588.pdf
Publication 5589,FY21 OMB 1545-0123 Rebaseline,Dec 2021,01/12/2022,https://www.irs.gov/pub/irs-pdf/p5589.pdf
Publication 5590,Exempt Organizations Technical Guide TG 62: Excise Taxes on Taxable Expenditures under IRC 4945,Aug 2024,08/07/2024,https://www.irs.gov/pub/irs-pdf/p5590.pdf
Publication 5592,Troubleshooting Tips for LB&I Audits  TDC SFS-SM,Apr 2022,04/20/2022,https://www.irs.gov/pub/irs-pdf/p5592.pdf
Publication 5593,FAQs For LB&I Audits - TDS SFS-SM,Apr 2022,05/12/2022,https://www.irs.gov/pub/irs-pdf/p5593.pdf
Publication 5594,Standard Postal Service State Abbreviations and ZIP Codes,Dec 2021,01/20/2022,https://www.irs.gov/pub/irs-pdf/p5594.pdf
Publication 5601,Foreign Controlled Domestic Corporations,Oct 2023,10/24/2023,https://www.irs.gov/pub/irs-pdf/p5601.pdf
Publication 5602,Attorneys Audit Technique Guide,Jan 2022,04/26/2022,https://www.irs.gov/pub/irs-pdf/p5602.pdf
Publication 5603,Child Care Provider Audit Technique Guide,Jan 2022,04/19/2022,https://www.irs.gov/pub/irs-pdf/p5603.pdf
Publication 5607,You could receive a tax refund even if youÂre not required to file,Jan 2022,03/21/2022,https://www.irs.gov/pub/irs-pdf/p5607.pdf
Publication 5610,How to Report Suspected Abusive Tax Promotions or Preparers,Mar 2022,03/24/2022,https://www.irs.gov/pub/irs-pdf/p5610.pdf
Publication 5614,Exempt Organizations Technical Guide TG 3-22 Termination of Private Foundation Status IRC 507,Mar 2024,03/26/2024,https://www.irs.gov/pub/irs-pdf/p5614.pdf
Publication 5615,IRC Section 48A and 48B Audit Technique Guide Advanced Coal and Gasification Project Credits,Mar 2022,04/19/2022,https://www.irs.gov/pub/irs-pdf/p5615.pdf
Publication 5616,Exempt Organizations Technical Guide TG 58 Excise Taxes on Self-Dealing under IRC 4941,Aug 2024,08/08/2024,https://www.irs.gov/pub/irs-pdf/p5616.pdf
Publication 5627,Exempt Organizations Technical Guide TG 23 Religious and Apostolic Associations IRC 501(d),Feb 2024,02/06/2024,https://www.irs.gov/pub/irs-pdf/p5627.pdf
Publication 5629,Fact Sheet: TaxSlayer Pro Closeout/Backup Procedures for SPEC Partners,Apr 2025,04/08/2025,https://www.irs.gov/pub/irs-pdf/p5629.pdf
Publication 5632,Overview of Form 1024 E-Filing Course: Text Version,Apr 2022,04/13/2022,https://www.irs.gov/pub/irs-pdf/p5632.pdf
Publication 5633,Over-The-Phone Interpreter (OPI) Languages Represented,Sep 2025,09/26/2025,https://www.irs.gov/pub/irs-pdf/p5633.pdf
Publication 5637,The Office of Professional Responsibility's Accomplishment Report,Feb 2018,05/02/2022,https://www.irs.gov/pub/irs-pdf/p5637.pdf
Publication 5638,The Office of Professional Responsibility's Annual Report,Mar 2019,05/02/2022,https://www.irs.gov/pub/irs-pdf/p5638.pdf
Publication 5640,Tax Withholding Estimator: A powerful online tool for small businesses,Apr 2022,05/02/2022,https://www.irs.gov/pub/irs-pdf/p5640.pdf
Publication 5641,Knowledge Management at the IRS,Apr 2022,05/11/2022,https://www.irs.gov/pub/irs-pdf/p5641.pdf
Publication 5642,Which employers are eligible for the work opportunity tax credit,Apr 2022,05/07/2022,https://www.irs.gov/pub/irs-pdf/p5642.pdf
Publication 5643,Virtual Currency,May 2022,05/23/2022,https://www.irs.gov/pub/irs-pdf/p5643.pdf
Publication 5644,E-File is Available for Federal Payroll Tax Forms,Apr 2022,05/11/2022,https://www.irs.gov/pub/irs-pdf/p5644.pdf
Publication 5645,Transactions of Foreign-Owned Domestic Corporations,May 2022,05/10/2022,https://www.irs.gov/pub/irs-pdf/p5645.pdf
Form 5646,"Claim for Damage, Injury, or Death",Jan 2017,01/28/2025,https://www.irs.gov/pub/irs-pdf/f5646.pdf
Publication 5646,Annual Filing Season Program Participants Continuing Education Requirements,May 2022,06/09/2022,https://www.irs.gov/pub/irs-pdf/p5646.pdf
Publication 5647,Petroleum Refining Audit Technique Guide,Jun 2022,06/09/2022,https://www.irs.gov/pub/irs-pdf/p5647.pdf
Publication 5648,Security Summit Membership Criteria,May 2022,06/07/2022,https://www.irs.gov/pub/irs-pdf/p5648.pdf
Publication 5648-A,"Security Summit Required Criteria and Qualification ""Statement of Interest""",May 2022,06/07/2022,https://www.irs.gov/pub/irs-pdf/p5648a.pdf
Publication 5651,Still need to File a 2022 Tax Return?,Jul 2023,08/17/2023,https://www.irs.gov/pub/irs-pdf/p5651.pdf
Publication 5652,Oil & Gas Audit Technique Guide,Feb 2023,03/01/2023,https://www.irs.gov/pub/irs-pdf/p5652.pdf
Publication 5653,Cost Segregation Audit Technique Guide,Feb 2025,02/11/2025,https://www.irs.gov/pub/irs-pdf/p5653.pdf
Publication 5654,"Country-by-Country Report, Tax Year 2022",Dec 2025,01/02/2026,https://www.irs.gov/pub/irs-pdf/p5654.pdf
